Dataset,Category,"AUROC (overall, OOF)",Accuracy,Precision,Recall (Sens.),F1,AUROC (fold mean),AUROC (fold std),N images,Threshold*,AUPRC,Specificity,MCC,TP,FP,TN,FN,95% CI low,95% CI high
MVTec AD,bottle,100.0,1.0,1.0,1.0,1.0,100.0,0.0,292.0,0.241,1.0,1.0,1.0,63.0,0.0,229.0,0.0,100.0,100.0
MVTec AD,cable,97.48,0.952,0.894,0.913,0.903,97.41,1.41,374.0,0.307,0.959,0.965,0.871,84.0,10.0,272.0,8.0,95.3,99.14
MVTec AD,capsule,99.18,0.963,0.914,0.972,0.942,99.09,0.96,351.0,0.304,0.979,0.959,0.916,106.0,10.0,232.0,3.0,98.47,99.74
MVTec AD,carpet,99.96,0.992,0.978,0.989,0.983,99.96,0.05,397.0,0.235,0.999,0.994,0.978,88.0,2.0,306.0,1.0,99.87,100.0
MVTec AD,grid,100.0,1.0,1.0,1.0,1.0,100.0,0.0,342.0,0.412,1.0,1.0,1.0,57.0,0.0,285.0,0.0,100.0,100.0
MVTec AD,hazelnut,99.83,0.984,0.908,0.986,0.945,99.78,0.39,501.0,0.097,0.993,0.984,0.937,69.0,7.0,424.0,1.0,99.47,100.0
MVTec AD,leather,100.0,1.0,1.0,1.0,1.0,100.0,0.0,369.0,0.892,1.0,1.0,1.0,92.0,0.0,277.0,0.0,100.0,100.0
MVTec AD,metal_nut,99.8,0.988,0.968,0.989,0.979,99.8,0.35,335.0,0.244,0.996,0.988,0.971,92.0,3.0,239.0,1.0,99.42,100.0
MVTec AD,pill,97.6,0.949,0.934,0.908,0.921,97.58,0.79,434.0,0.438,0.969,0.969,0.884,128.0,9.0,284.0,13.0,95.8,99.0
MVTec AD,screw,99.14,0.952,0.864,0.958,0.908,99.08,0.72,480.0,0.281,0.976,0.95,0.878,114.0,18.0,343.0,5.0,98.45,99.68
MVTec AD,tile,99.96,0.988,0.955,1.0,0.977,100.0,0.0,347.0,0.036,0.999,0.985,0.97,84.0,4.0,259.0,0.0,99.88,100.0
MVTec AD,toothbrush,98.52,0.951,0.903,0.933,0.918,99.29,0.95,102.0,0.266,0.97,0.958,0.883,28.0,3.0,69.0,2.0,96.48,99.83
MVTec AD,transistor,98.69,0.923,0.629,0.975,0.765,98.91,1.45,313.0,0.087,0.949,0.916,0.746,39.0,23.0,250.0,1.0,97.25,99.76
MVTec AD,wood,100.0,1.0,1.0,1.0,1.0,100.0,0.0,326.0,0.156,1.0,1.0,1.0,60.0,0.0,266.0,0.0,100.0,100.0
MVTec AD,zipper,99.98,0.992,0.975,1.0,0.988,100.0,0.0,391.0,0.192,1.0,0.989,0.982,119.0,3.0,269.0,0.0,99.93,100.0
MVTec AD,Mean (all categories),99.34266666666667,0.9756,0.9281333333333334,0.9748666666666667,0.9486,99.39333333333336,0.4713333333333333,356.93333333333334,0.27920000000000006,0.9859333333333333,0.9771333333333333,0.9344,81.53333333333333,6.133333333333334,266.93333333333334,2.3333333333333335,98.688,99.80999999999999
MVTec LOCO AD,breakfast_box,96.17,0.885,0.735,0.913,0.814,96.28,1.89,626.0,0.255,0.923,0.874,0.742,158.0,57.0,396.0,15.0,94.62,97.51
